IDristorante;Idpersona
1;34
2;140
3;116
4;132
5;96
6;235
7;103
8;120
9;235
10;176
11;88
12;202
13;79
14;193
15;160
16;193
17;163
18;41
19;178
20;109
21;65
22;7
23;73
24;43
25;170
26;66
27;124
28;224
29;83
30;209
31;71
32;167
33;150
34;122
35;219
36;49
37;241
38;41
39;193
40;106
41;147
42;105
43;151
44;90
45;29
46;121
47;212
48;164
49;203
50;60
51;8
52;37
53;221
54;144
55;247
56;225
57;232
58;73
59;63
60;148
61;151
62;91
63;226
64;119
65;78
66;139
67;205
68;165
69;73
70;235
71;61
72;239
73;137
74;34
75;237
76;153
77;190
78;126
79;73
80;230
81;182
82;224
83;69
84;7
85;72
86;179
87;103
88;132
89;113
90;69
91;13
92;190
93;177
94;102
95;174
96;182
97;101
98;30
99;110
100;168
101;139
102;188
103;126
104;6
105;206
106;46
107;77
108;116
109;176
110;109
111;11
112;54
113;64
114;239
115;68
116;35
117;6
118;30
119;14
120;119
121;206
122;242
123;120
124;192
125;26
126;206
127;154
128;143
129;91
130;223
131;240
132;58
133;202
134;170
135;212
136;121
137;17
138;130
139;98
140;118
141;78
142;106
143;124
144;131
145;25
146;193
147;120
148;149
149;231
150;6
151;76
152;238
153;212
154;80
155;156
156;29
157;89
158;11
159;83
160;248
161;154
162;217
163;134
164;61
165;37
166;50
167;168
168;51
169;95
170;146
171;6
172;93
173;91
174;113
175;153
176;77
177;236
178;52
179;54
180;98
181;225
182;58
183;216
184;208
185;19
186;223
187;69
188;81
189;185
190;92
191;173
192;20
193;241
194;233
195;37
196;23
197;62
198;185
199;220
200;20
201;62
202;201
203;163
204;204
205;66
206;58
207;193
208;149
209;72
210;69
211;7
212;237
213;62
214;182
215;84
216;133
217;48
218;134
219;50
220;146
221;118
222;102
223;219
224;196
225;31
226;44
227;76
228;143
229;141
230;105
231;77
232;143
233;70
234;98
235;55
236;126
237;206
238;245
239;155
240;64
241;180
242;196
243;81
244;69
245;7
246;200
247;152
248;41
249;24
250;22
251;45
252;218
253;139
254;233
255;245
256;89
257;226
258;41
259;1
260;88
261;134
262;91
263;130
264;213
265;206
266;7
267;1
268;67
269;142
270;29
271;8
272;205
273;7
274;230
275;47
276;248
277;159
278;242
279;5
280;185
281;114
282;157
283;95
284;249
285;180
286;241
287;181
288;241
289;66
290;147
291;96
292;49
293;248
294;101
295;236
296;55
297;222
298;117
299;88
300;64
301;163
302;248
303;241
304;41
305;243
306;149
307;77
308;174
309;214
310;58
311;164
312;120
313;63
314;45
315;172
316;152
317;209
318;54
319;56
320;216
321;169
322;212
323;215
324;234
325;204
326;171
327;102
328;38
329;17
330;61
331;93
332;181
333;158
334;224
335;27
336;58
337;100
338;97
339;153
340;181
341;167
342;158
343;242
344;182
345;13
346;153
347;86
348;8
349;202
350;239
351;32
352;4
353;195
354;43
355;237
356;210
357;192
358;173
359;214
360;169
361;48
362;5
363;141
364;83
365;110
366;206
367;71
368;79
369;244
370;15
371;69
372;194
373;86
374;106
375;135
376;246
377;147
378;164
379;125
380;224
381;37
382;139
383;200
384;106
385;38
386;16
387;138
388;31
389;89
390;21
391;117
392;235
393;229
394;19
395;109
396;42
397;171
398;61
399;7
400;141
401;106
402;232
403;73
404;234
405;186
406;29
407;79
408;55
409;25
410;175
411;15
412;79
413;45
414;195
415;176
416;10
417;196
418;80
419;208
420;95
421;84
422;23
423;103
424;136
425;224
426;148
427;125
428;40
429;30
430;205
431;102
432;178
433;202
434;159
435;236
436;217
437;130
438;102
439;73
440;203
441;101
442;98
443;207
444;120
445;190
446;70
447;79
448;183
449;67
450;88
451;224
452;168
453;138
454;170
455;61
456;177
457;172
458;99
459;232
460;83
461;129
462;145
463;121
464;214
465;184
466;141
467;248
468;89
469;52
470;227
471;188
472;133
473;138
474;185
475;156
476;74
477;35
478;237
479;222
480;90
481;143
482;107
483;29
484;202
485;54
486;107
487;163
488;195
489;85
490;242
491;214
492;44
493;72
494;99
495;100
496;2
497;155
498;79
499;135
500;171
501;238
502;102
503;24
504;211
505;108
506;103
507;205
508;136
509;146
510;24
511;164
512;12
513;218
514;108
515;98
516;228
517;199
518;50
519;232
520;101
521;217
522;207
523;236
524;191
525;242
526;15
527;163
528;45
529;2
530;20
531;156
532;170
533;130
534;37
535;16
536;113
537;1
538;28
539;174
540;65
541;200
542;149
543;150
544;32
545;245
546;81
547;212
548;243
549;134
550;188
551;222
552;28
553;116
554;142
555;144
556;2
557;197
558;192
559;148
560;185
561;145
562;30
563;99
564;114
565;3
566;246
567;248
568;112
569;80
570;36
571;62
572;36
573;20
574;46
575;35
576;228
577;58
578;205
579;22
580;229
581;58
582;176
583;78
584;118
585;169
586;140
587;202
588;36
589;171
590;141
591;169
592;140
593;74
594;112
595;229
596;17
597;26
598;208
599;133
600;223
601;57
602;1
603;94
604;17
605;72
606;100
607;85
608;105
609;15
610;188
611;189
612;235
613;136
614;128
615;221
616;87
617;91
618;81
619;245
620;123
621;15
622;200
623;194
624;205
625;83
626;226
627;11
628;155
629;236
630;198
631;190
632;34
633;105
634;3
635;35
636;130
637;177
638;76
639;87
640;247
641;227
642;2
643;226
644;241
645;216
646;223
647;44
648;35
649;71
650;55
651;75
652;139
653;174
654;82
655;46
656;79
657;4
658;166
659;40
660;148
661;62
662;130
663;34
664;125
665;33
666;229
667;192
668;131
669;77
670;30
671;28
672;161
673;171
674;191
675;195
676;48
677;26
678;104
679;126
680;218
681;196
682;136
683;112
684;126
685;128
686;19
687;20
688;20
689;164
690;204
691;221
692;126
693;194
694;173
695;187
696;243
697;38
698;14
699;15
700;9
701;171
702;212
703;216
704;227
705;122
706;213
707;137
708;15
709;130
710;198
711;207
712;189
713;156
714;66
715;86
716;178
717;122
718;45
719;194
720;29
721;235
722;203
723;164
724;166
725;115
726;19
727;44
728;68
729;103
730;115
731;107
732;9
733;153
734;177
735;158
736;148
737;216
738;128
739;35
740;54
741;226
742;11
743;151
744;135
745;124
746;43
747;17
748;170
749;8
750;42
751;204
752;223
753;39
754;13
755;118
756;81
757;243
758;94
759;231
760;223
761;122
762;102
763;181
764;147
765;155
766;129
767;194
768;182
769;106
770;82
771;98
772;192
773;40
774;39
775;158
776;175
777;234
778;144
779;197
780;115
781;153
782;103
783;62
784;213
785;13
786;175
787;52
788;106
789;85
790;237
791;226
792;142
793;21
794;12
795;193
796;109
797;224
798;157
799;100
800;201
801;45
802;184
803;64
804;241
805;188
806;81
807;105
808;65
809;67
810;228
811;7
812;176
813;5
814;111
815;15
816;221
817;136
818;16
819;91
820;20
821;248
822;221
823;58
824;130
825;139
826;237
827;11
828;171
829;95
830;113
831;162
832;133
833;167
834;5
835;137
836;70
837;248
838;205
839;131
840;213
841;19
842;156
843;179
844;237
845;188
846;215
847;26
848;34
849;83
850;1
851;12
852;28
853;24
854;197
855;194
856;90
857;185
858;212
859;95
860;77
861;31
862;156
863;197
864;133
865;60
866;17
867;241
868;236
869;246
870;45
871;6
872;72
873;60
874;243
875;149
876;155
877;107
878;2
879;224
880;153
881;113
882;169
883;34
884;172
885;151
886;70
887;76
888;60
889;185
890;27
891;57
892;227
893;242
894;239
895;64
896;75
897;88
898;95
899;133
900;139
901;135
902;193
903;94
904;34
905;230
906;7
907;41
908;78
909;37
910;121
911;160
912;38
913;41
914;124
915;223
916;128
917;167
918;209
919;110
920;5
921;2
922;101
923;211
924;156
925;114
926;46
927;59
928;152
929;37
930;199
931;69
932;189
933;226
934;108
935;45
936;178
937;248
938;12
939;182
940;132
941;113
942;25
943;62
944;160
945;64
946;153
947;28
948;166
949;26
950;43
951;53
952;94
953;195
954;194
955;204
956;243
957;43
958;63
959;180
960;177
961;133
962;63
963;7
964;122
965;97
966;147
967;158
968;180
969;169
970;89
971;202
972;37
973;125
974;126
975;200
976;191
977;184
978;88
979;150
980;96
981;119
982;225
983;53
984;113
985;141
986;156
987;40
988;110
989;190
990;202
991;205
992;136
993;121
994;70
995;87
996;193
997;30
998;173
999;109
1000;40
1001;41
1002;126
1003;72
1004;81
1005;189
1006;57
1007;14
1008;17
1009;240
1010;27
1011;188
1012;162
1013;25
1014;201
1015;4
1016;141
1017;172
1018;237
1019;185
1020;184
1021;65
1022;90
1023;156
1024;197
1025;42
1026;230
1027;124
1028;157
1029;142
1030;226
1031;142
1032;30
1033;10
1034;95
1035;78
1036;137
1037;105
1038;198
1039;20
1040;201
1041;195
1042;99
1043;212
1044;142
1045;99
1046;246
1047;138
1048;242
1049;128
1050;129
1051;165
1052;143
1053;112
1054;120
1055;83
1056;158
1057;130
1058;161
1059;93
1060;213
1061;8
1062;195
1063;107
1064;191
1065;131
1066;61
1067;38
1068;108
1069;86
1070;3
1071;176
1072;126
1073;159
1074;173
1075;95
1076;213
1077;168
1078;215
1079;216
1080;66
1081;65
1082;192
1083;162
1084;42
1085;12
1086;15
1087;56
1088;232
1089;234
1090;127
1091;48
1092;142
1093;62
1094;230
1095;107
1096;86
1097;19
1098;81
1099;143
1100;124
1101;74
1102;11
1103;70
1104;52
1105;165
1106;109
1107;153
1108;215
1109;5
1110;194
1111;67
1112;220
1113;134
1114;218
1115;102
1116;177
1117;39
1118;29
1119;101
1120;1
1121;172
1122;160
1123;25
1124;146
1125;30
1126;196
1127;89
1128;121
1129;79
1130;234
1131;183
1132;136
1133;228
1134;8
1135;54
1136;133
1137;52
1138;11
1139;13
1140;13
1141;194
1142;194
1143;102
1144;88
1145;189
1146;137
1147;190
1148;216
1149;208
1150;135
1151;9
1152;245
1153;12
1154;159
1155;99
1156;72
1157;38
1158;88
1159;215
1160;197
1161;50
1162;61
1163;88
1164;191
1165;77
1166;31
1167;212
1168;161
1169;42
1170;99
1171;22
1172;201
1173;217
1174;75
1175;124
1176;226
1177;9
1178;37
1179;227
1180;126
1181;121
1182;56
1183;141
1184;186
1185;197
1186;84
1187;7
1188;89
1189;71
1190;154
1191;85
1192;99
1193;103
1194;135
1195;184
1196;74
1197;101
1198;234
1199;248
1200;147
1201;2
1202;44
1203;142
1204;29
1205;247
1206;130
1207;113
1208;151
1209;85
1210;134
1211;8
1212;43
1213;27
1214;204
1215;130
1216;137
1217;38
1218;98
1219;104
1220;111
1221;111
1222;66
1223;14
1224;155
1225;177
1226;61
1227;35
1228;40
1229;157
1230;30
1231;83
1232;190
1233;36
1234;82
1235;145
1236;79
1237;60
1238;153
1239;75
1240;123
1241;47
1242;187
1243;156
1244;43
1245;117
1246;147
1247;116
1248;103
1249;100
1250;209
1251;201
1252;135
1253;212
1254;194
1255;154
1256;95
1257;160
1258;244
1259;2
1260;12
1261;167
1262;150
1263;213
1264;231
1265;244
1266;127
1267;114
1268;16
1269;132
1270;182
1271;185
1272;215
1273;149
1274;40
1275;242
1276;130
1277;95
1278;66
1279;97
1280;139
1281;195
1282;248
1283;197
1284;222
1285;191
1286;178
1287;177
1288;184
1289;32
1290;71
1291;167
1292;29
1293;157
1294;35
1295;143
1296;247
1297;19
1298;228
1299;215
1300;100
1301;111
1302;196
1303;40
1304;229
1305;243
1306;66
1307;12
1308;173
1309;103
1310;95
1311;70
1312;36
1313;227
1314;43
1315;46
1316;225
1317;2
1318;30
1319;231
1320;70
1321;183
1322;246
1323;60
1324;86
1325;218
1326;210
1327;192
1328;113
1329;249
1330;218
1331;172
1332;49
1333;201
1334;104
1335;65
1336;179
1337;216
1338;64
1339;83
1340;166
1341;8
1342;245
1343;98
1344;105
1345;30
1346;163
1347;143
1348;7
1349;4
1350;84
1351;126
1352;141
1353;1
1354;17
1355;248
1356;54
1357;239
1358;169
1359;82
1360;162
1361;51
1362;78
1363;100
1364;38
1365;130
1366;47
1367;168
1368;155
1369;186
1370;145
1371;221
1372;218
1373;238
1374;18
1375;144
1376;144
1377;231
1378;188
1379;79
1380;32
1381;147
1382;218
1383;32
1384;25
1385;60
1386;69
1387;68
1388;34
1389;227
1390;173
1391;112
1392;194
1393;177
1394;203
1395;186
1396;88
1397;171
1398;219
1399;94
1400;124
1401;138
1402;93
1403;230
1404;162
1405;59
1406;78
1407;69
1408;43
1409;74
1410;127
1411;83
1412;93
1413;190
1414;236
1415;141
1416;213
1417;32
1418;110
1419;177
1420;154
1421;173
1422;233
1423;197
1424;134
1425;153
1426;20
1427;192
1428;37
1429;163
1430;116
1431;137
1432;193
1433;184
1434;30
1435;41
1436;228
1437;227
1438;232
1439;223
1440;153
1441;27
1442;11
1443;154
1444;175
1445;3
1446;198
1447;167
1448;94
1449;194
1450;86
1451;231
1452;12
1453;6
1454;177
1455;164
1456;239
1457;210
1458;169
1459;214
1460;83
1461;77
1462;207
1463;8
1464;13
1465;179
1466;116
1467;244
1468;99
1469;168
1470;29
1471;199
1472;215
1473;159
1474;72
1475;49
1476;5
1477;188
1478;223
1479;248
1480;115
1481;99
1482;227
1483;53
1484;177
1485;211
1486;204
1487;117
1488;187
1489;19
1490;235
1491;99
1492;9
1493;128
1494;98
1495;201
1496;53
1497;236
1498;84
1499;221
1500;179
1501;39
1502;221
1503;2
1504;71
1505;77
1506;97
1507;6
1508;23
1509;242
1510;31
1511;56
1512;62
1513;13
1514;37
1515;213
1516;228
1517;109
1518;23
1519;137
1520;74
1521;234
1522;239
1523;33
1524;229
1525;122
1526;129
1527;211
1528;101
1529;234
1530;32
1531;9
1532;73
1533;197
1534;223
1535;70
1536;197
1537;237
1538;69
1539;211
1540;201
1541;76
1542;201
1543;17
1544;61
1545;114
1546;7
1547;130
1548;7
1549;142
1550;192
1551;181
1552;104
1553;210
1554;61
1555;136
1556;70
1557;41
1558;6
1559;203
1560;247
1561;106
1562;86
1563;94
1564;33
1565;30
1566;232
1567;31
1568;69
1569;144
1570;89
1571;24
1572;34
1573;208
1574;5
1575;82
1576;180
1577;213
1578;90
1579;232
1580;191
1581;137
1582;248
1583;13
1584;230
1585;1
1586;33
1587;206
1588;68
1589;117
1590;142
1591;228
1592;127
1593;5
1594;65
1595;239
1596;198
1597;168
1598;189
1599;103
1600;243
1601;55
1602;155
1603;188
1604;48
1605;16
1606;70
1607;228
1608;62
1609;8
1610;28
1611;186
1612;99
1613;227
1614;51
1615;35
1616;187
1617;221
1618;232
1619;21
1620;18
1621;165
1622;200
1623;248
1624;71
1625;131
1626;78
1627;222
1628;227
1629;74
1630;244
1631;160
1632;176
1633;155
1634;118
1635;142
1636;162
1637;158
1638;45
1639;22
1640;240
1641;173
1642;123
1643;78
1644;41
1645;65
1646;75
1647;222
1648;49
1649;108
1650;96
1651;201
1652;25
1653;91
1654;150
1655;121
1656;215
1657;211
1658;203
1659;213
1660;117
1661;109
1662;108
1663;136
1664;44
1665;247
1666;55
1667;243
1668;202
1669;230
1670;32
1671;15
1672;95
1673;38
1674;18
1675;216
1676;132
1677;126
1678;120
1679;224
1680;71
1681;68
1682;216
1683;212
1684;123
1685;216
1686;154
1687;100
1688;130
1689;23
1690;235
1691;114
1692;51
1693;220
